,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN
1,,,,,,,,,,,,,,,,,,,,,248,PLA-j,,,,,,GALLI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,248,,,,,,,MANFREDINI,,,,,
0,,,,,,,,,,,,,,,,,,,,,252,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,254,,,,,,,,,,,,
0,MILLER-j,,,,,,,,,,,,,CHABRAN,,,,,,,258,EIFFERT,,,,,,TURNER~e,,,CERVETTO-gb,,
1,,,,,,,,,,,,,,,,,,,,,258,,,,,,,TURNER~1,,,,,
2,,,,,,,,,,,,,,,,,,,,,258,,,,,,,GUADAGNI,,,,,
0,,,,,,,,,,,,,,,,,,,,,259,,,,,,,YOUNG~I,,,,,
0,,,,,,,,HANDEL,,,,,,,,,,,,,261,,,,,,,,,,,,
0,,,,,,,,,,,,,CHABRAN,,,,,,,,262,,,,,True,,FRASI~,,,,,
1,,,,,,,,,,,,,CIAMPI,,,,,,,,262,,,,,,,GALLI~,,,,,
2,,,,,,,,,,,,,DAVIES-r,,,,,,,,262,,,,,,,GUADAGNI,,,,,
3,,,,,,,,,,,,,,,,,,,,,262,,,,,,,RANIERI,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,263,,,,,,,,,,,,
0,,,,,,,,,,,,GIARDINI,,CHABRAN,,,,,,True,264,PLA-g,,,,True,,FRASI~,,,CERVETTO-gb,,
1,,,,,,,,,,,,,,,,,,,,,264,PLA-j,,,,,,VESTRIS~mcv,,,,,
0,,,,,,,,,,,,,,HELLENDAAL,,,,,,,266,EIFFERT,,,,True,,GALLI~,,,CERVETTO-gb,,
1,,,,,,,,,,,,,,,,,,,,,266,,,,,,,MANFREDINI,,,,,
0,,,,,,,,,,,,,,,,,,,,True,267,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,268,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,269,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,273,,,,,True,,,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,275,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,279,PLA-g,,,,True,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,279,PLA-j,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,280,,,,,True,,,,,,,
0,,,,,,,,,,,,,,PASSERINI,,,,,,,281,PLA-g,,,,,,PASSERINI~,,,LANZETTI,,
1,,,,,,,,,,,,,,,,,,,,,281,PLA-j,,,,,,FOURMANTEL~,,,GORDON,,
0,,,,,,,,,,,,,,PASSERINI,,,,,,,282,PLA-g,,,,True,,PASSERINI~,,,LANZETTI,,
1,,,,,,,,,,,,,,,,,,,,,282,PLA-j,,,,,,FOURMANTEL~,,,GORDON,,
0,,,,,,,,,,,,,,,,,,,,,283,,,,,,,GALLI~,,,,,
0,,,,,,,,,,,,PALSCHAU,,,,,,,,,284,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,285,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,286,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,287,,,,,True,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,287,,,,,,,GALLI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,287,,,,,,,WASS,,,,,
0,,,,,,,,,,,,,,,,,,,,,288,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,290,,,,,True,,,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,291,,,,,True,,TURNER~e,,,CERVETTO-gb,,
1,,,,,,,,,,,,,,,,,,,,,291,,,,,,,BEARD,,,,,
2,,,,,,,,,,,,,,,,,,,,,291,,,,,,,WASS,,,,,
0,,,,,,,,,,,,,,CHABRAN,,,,,,,293,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,294,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,295,,,,,True,,PASSERINI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,295,,,,,,,WASS,,,,,
2,,,,,,,,,,,,,,,,,,,,,295,,,,,,,BEARD,,,,,
3,,,,,,,,,,,,,,,,,,,,,295,,,,,,,FRASI~,,,,,
