Num,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN,GU,PSALTERY
0.0,MILLER-j,,,,,,,,BALICOURT,,,,,PINTO,,,,,,,172.0,,,,,False,,FRASI~,,,BENEKI,,,,
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,,173.0,,,,,,,STEVENSON~,,,,,,,
0.0,,,,,,,,HANDEL,,,,,,,,,,,,,174.0,,,HANDEL,,,,,,,,,,,
0.0,,,,,,,,,,,,,,HELLENDAAL,,,,,,,176.0,,,,,False,,GALLI~,,,,,,,
0.0,,,,,,,,,,,,,,GIARDINI,,,,,,True,177.0,,,,,False,,FRASI~,,,CERVETTO-gb,,,,
1.0,,,,,,,,,,,,,,,,,,,,,177.0,,,,,False,,DELLAVALLE~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,178.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,GIARDINI,,,,,,,180.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,True,181.0,,,,,,,DAVIS,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,181.0,,,,,,,DAVIS~1,,,,,,,
0.0,,,,,,,,,,,,,,GIARDINI,,,,,,,184.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,True,187.0,,,,,False,,NEW_ITALIAN,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,187.0,,,,,False,,WILDER,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,188.0,,,,,False,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,189.0,,,,,,,RAMELIO~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,189.0,,,,,,,WILDER,,,,,,,
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,True,192.0,,,,,False,,,,,,,,,
0.0,,,,,,,,/,,,,,,,,,,,,,195.0,,,,,,,,,,,,,,
1.0,,,,,,,,LEAD,,,,,,,,,,,,,195.0,,,,,,,,,,,,,,
2.0,,,,,,,,GIARDINI,,,,,,,,,,,,,195.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,,197.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,HELLENDAAL,,,,,,,199.0,,,,,False,,GUADAGNI,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,199.0,,,,,False,,RAMELIO~,,,,,,,
0.0,,,,,,,,,,,,,,CHABRAN,,,,,,,200.0,,,,,False,,,,,,,FROUD,,
0.0,,,,,,,,,,,,,,HELLENDAAL,,,,,,,206.0,,,,,False,,GALLI~,CATTANEI,,CERVETTO-gb,,,,
0.0,BAUMGARTEN-s,,,,,,,,,,,,,BROWN-a,,,,,,,209.0,,,,,False,,,,,CERVETTO-gb,,,,
0.0,,,,,,,,,,,,,,CHABRAN,,,,,,,210.0,,,,,,,RAMELIO~,,,GORDON,,,,
1.0,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,GUADAGNI,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,RIVIERI,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,212.0,,,,,,,FRASI~,,,,,,,
0.0,,,STANLEY,,,,,,,,,,,,,,,,,,214.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,215.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,CHABRAN,,,,,,,216.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,219.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,HELLENDAAL,,,,,,True,221.0,,,,,False,,,,,,,,,
0.0,,,PASSERINI,,,,,,,,,,,,,,,,,,223.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,CHABRAN,,,,,,,226.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,PASSERINI,,,,,,,228.0,PLA-1,,,,False,,PASSERINI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,228.0,,,,,False,,GUADAGNI,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,229.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,231.0,,,,,False,,,,,,,,,
0.0,MILLER-j,,,,,,,,,,,,,CHABRAN,,,,,,,233.0,PLA-g,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,238.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,GIARDINI,,,,,,,239.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,239.0,,,,,,,GALLI~,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,239.0,,,,,,,BEARD,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,239.0,,,,,,,WASS,,,,,,,
