,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
1678,1679,FH,FOUNDLING HOSPITAL 73,OB,10s 6d,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. V LINLEY~e LINLEY~m1 <MISS_LINLEYS> REINHOLD HUDSON. CN ORG STANLEY.,PA,PA 9 Apr (news),,1773-04-06 12:00:00
1679,1680,LH,LOCK HOSPITAL 73,OB,10s 6d,GIARDINI o ^RUTH^ <ORATORIO>. LEAD GIARDINI; V VERNON CHAMPNESS LINLEY~e LINLEY~M1 <MARY_LINDLEY> GALLI~. CN VN GIARDINI.,PA; PA 31 Mar,,[At first billed as GIARDINI's last public performance in England.],1773-04-07 12:00:00
1680,1681,KT,LINLEY-T2 73,CB,PB 10s 6d,V LINLEY~e LINLEY~M1 <M_LINLEY>; I LINLEY-T2 <T_LINLEY_JUN> FISCHER CROSDILL SPANDAU.,PA,,[LS.],
1681,1682,A/W,BACH-ABEL 73 11TH,CS,,DIR ABEL; [BACH].,PA,,,1773-04-14 19:00:00
1682,1683,C&A,MARRIOTT 73 ?,RM,5s 3d,COND ARNOLD. ARNOLD MUSIC (NEW); SG WEICHSELL~f <AIRS>.,PA,,In reading of 'The Jesuit' by George Marriott. With orchestra and chorusses. [And similar subsequently; not listed.] [LS.],1773-04-14 19:00:00
1683,1684,HAY,PUNTO AND EICHNER 73,CB,PB 10s 6d; FG 5s; SG 3s,LEAD CRAMER-w; V GRASSI~ WEICHSELL~f. SL VN CRAMER-w; SL VDAG ABEL; CN OB FISCHER; CN VC CROSDILL; CN LUTE WEISS-1; CN BN EICHNER; CN HN PUNTO; CNte HN HN SPANDAU PUNTO <DT CN> (FIRST AND LAST TIME). BEGIN: EICHNER OV (NEVER PERFORMED BEFORE). BACH SG GRASSI~ + ob hn FISCHER PUNTO (FAV). END: HAYDN FP WITH HN HN HN HN.,PA,,[LS.],1773-04-19 19:00:00
1684,1685,A/W,BACH-ABEL 73 12TH,CS,,DIR BACH; [ABEL].,PA,,[Burrows-Harris 727.],1773-04-21 19:00:00
1685,1686,H,BORGHI AND SAVOI 73,CB,,[BORGHI SAVOI.] BACH ABEL FISCHER SPANDAU EICHNER CROSDILL. VA TWO_CAPITAL_PERFORMERS.,PA; MC 6 Mar,,From 16 Apr.,
1686,1687,A/W,LE_CHANTRE~ 73,CB,10s 6d,1: PUGNANI OV; SG SAVOI; PUGNANI QT; SN HPD LE_CHANTRE~; SG SAVOI; PUGNANI OV.  2: CN HPD LE_CHANTRE~; SL VC JANSON; SG SAVOI; SL VN PUGNANI; SN PF LE_CHANTRE~; fp <GRAND PIECE>.,PA; PA 20 Apr,,The last time of her performing.,1773-04-24 12:00:00
1687,1688,A/W,BACH-ABEL 73 13TH,CS,,DIR ABEL; [BACH].,PA,,,1773-04-28 19:00:00
1688,1689,H,WIDOW 73 *,CB,5s,COND ARNOLD; LEAD FISHER; V REINHOLD DUBELLAMY WEWITZER~1 MATTOCKS~ CATLEY~. SL VN FISHER; CN OB SIMPSON.,PA; PA 16 Apr,,* Distressed widow with six small children. From 16 Apr (at Society of Artists' Room). Tickets for CATLEY~ 30 Apr taken.,
1689,1690,H,QUILICI 73,CB,10s 6d,[QUILICI.] LEAD CELESTINO; V GRASSI~ SAVOI DOYLE~. SL VN CELESTINO; SL FL TACET; SL PF H?LLMANDEL; SL VC CIRRI; CN HN PUNTO.,PA; PA 17 Mar,,From 25 Mar; 19 Apr. DOYLE~: scholar of QUILICI.,1773-04-30 19:00:00
1690,1691,,YOUNG FRENCH LADY 73,CB,10s 6d,PF YOUNG_FRENCH_LADY (NOT YET APPEARED IN PUBLIC IN THIS COUNTRY).,PA 27 Mar 1773,,About 10 Apr 1773 [no further mention].,
1691,1692,A/W,BACH-ABEL 73 14TH,CS,,DIR BACH; [ABEL].,PA,,,1773-05-05 19:00:00
1692,1693,HAY,ATTERBURY 73 ?,OB,B 5s; P 3s; FG 2s; SG 1s,ATTERBURY o ^GOLIATH^ <SACRED ORATORIO> (NEW; NEVER PERFORMED). LEAD BARTHELEMON; V BATTISHILL MEREDITH-1 SCOTT~ BARTHELEMON~m. CN VN BARTHELEMON. BETWEEN PARTS1-2: TRAETTA SG BARTHELEMON~m (ITALIAN).,PA; PA 21 Apr,,From 23 Apr [prices reduced]. [LS (and mistakenly on 23 Apr).],1773-05-05 19:00:00
1693,1694,H,WEISS-1 73,CB,10s 6d,DIR BACH ABEL. BACH ABEL GRASSI~ CRAMER-w FISCHER SPANDAU EICHNER. IN PART1: CN lute WEISS-1. IN PART2: SL lute WEISS-1.,PA; PA 8 Apr,,From 29 Apr. WEISS-1: lutenist to the Elector of Saxony. [Not same as WEISS flautist - benefit on 7 May.],
1694,1695,H,KAMMELL AND WEISS 73,CB,10s 6d,V GRASSI~ GALLI~; I BACH ABEL FISCHER SPANDAU PUNTO EICHNER KAMMELL; FL WEISS. ?dt hn hn SPANDAU PUNTO <PLAY TOGETHER>.,PA; PA 31 Mar; PA 6 May,,From KAMMELL 26 Apr. [WEISS: not to be confused with lutenist - benefit on 6 May.],1773-05-07 19:00:00
