0,1,2,3,4,No
0.0,6.0,,,,2984
0.0,6.0,,,,2985
0.0,7.0,,,,2987
0.0,6.0,,,,2988
0.0,5.0,,,,2991
1.0,7.0,,,,2992
0.0,7.0,,,,2997
0.0,10.0,,,,2998
0.0,6.0,,,,2999
0.0,6.0,,,,3000
0.0,9.0,,,,3001
0.0,5.0,,,,3002
0.0,6.0,,,,3003
0.0,6.0,,,,3004
0.0,10.0,,,,3005
0.0,10.0,,,,3008
0.0,10.0,,,,3009
0.0,7.0,,,,3010
0.0,10.0,,,,3011
0.0,10.0,,,,3013
0.0,10.0,,,,3014
10.0,,,,,3016
0.0,10.0,,,,3019
0.0,10.0,,,,3023
10.0,,,,,3024
0.0,10.0,,,,3025
0.0,10.0,,,,3026
0.0,10.0,,,,3027
10.0,,,,,3028
0.0,11.0,,,,3029
9.0,,,,,3030
0.0,10.0,,,,3031
12.0,,,,,3032
12.0,,,,,3033
0.0,12.0,,,,3034
0.0,12.0,,,,3035
0.0,12.0,,,,3036
12.0,,,,,3037
0.0,12.0,,,,3038
0.0,12.0,,,,3039
12.0,,,,,3040
12.0,,,,,3041
0.0,11.0,,,,3042
0.0,13.0,,,,3043
0.0,13.0,,,,3044
0.0,13.0,,,,3045
0.0,13.0,,,,3046
0.0,13.0,,,,3047
0.0,13.0,,,,3048
0.0,13.0,,,,3049
0.0,13.0,,,,3050
0.0,13.0,,,,3051
13.0,,,,,3052
0.0,13.0,,,,3053
0.0,13.0,,,,3054
0.0,13.0,,,,3055
13.0,,,,,3056
0.0,13.0,,,,3057
0.0,13.0,,,,3058
13.0,,,,,3059
13.0,,,,,3060
0.0,13.0,,,,3061
0.0,13.0,,,,3062
0.0,12.0,,,,3063
0.0,13.0,,,,3064
0.0,13.0,,,,3065
13.0,,,,,3066
0.0,13.0,,,,3067
0.0,13.0,,,,3068
13.0,,,,,3069
13.0,,,,,3070
0.0,13.0,,,,3071
0.0,13.0,,,,3072
0.0,13.0,,,,3073
0.0,14.0,,,,3074
0.0,14.0,,,,3075
13.0,,,,,3076
0.0,14.0,,,,3077
14.0,,,,,3078
14.0,,,,,3079
0.0,13.0,,,,3080
0.0,13.0,,,,3081
13.0,,,,,3082
0.0,13.0,,,,3083
0.0,6.0,,,,3086
2.0,,,,,3087
0.0,6.0,,,,3090
0.0,6.0,,,,3096
1.0,,,,,3098
1.0,,,,,3099
0.0,6.0,,,,3100
2.0,,,,,3101
0.0,6.0,,,,3103
0.0,6.0,,,,3105
2.0,,,,,3107
0.0,5.0,,,,3108
0.0,6.0,,,,3111
2.0,,,,,3113
1.0,,,,,3114
0.0,5.0,,,,3115
2.0,,,,,3116
0.0,6.0,,,,3118
0.0,6.0,,,,3119
3.0,,,,,3120
3.0,,,,,3121
0.0,5.0,,,,3122
0.0,6.0,,,,3123
